,col_1,col_2
0,1.jpg,[5.434484  3.9977393]
1,2.jpg,[1.1493849]
2,3.jpg,[10.963537]
3,4.jpg,[1.1472334]
4,5.jpg,[3.1791155 1.5587357]
5,6.jpg,[1.1636416]
6,7.jpg,[1.1538647]
7,8.jpg,[1.1482514]
8,9.jpg,[2.0630023 1.9791838]
9,10.jpg,[1.4018811]
10,11.jpg,[2.9504454]
11,12.jpg,[2.9644356 2.7649944]
12,13.jpg,[1.1376271]
13,14.jpg,[5.8517156 3.4649704]
14,15.jpg,[1.14206]
15,16.jpg,[2.0446117 1.4474097]
16,17.jpg,[5.4952064 3.664734 ]
17,18.jpg,[1.4930527 1.0573138]
18,19.jpg,[1.4428223 1.1324217]
19,20.jpg,[1.7080531 1.681822 ]
20,21.jpg,[1.1377939]
21,22.jpg,[5.0277104 1.1899347]
22,23.jpg,[2.4241254]
23,24.jpg,[50.185932]
24,25.jpg,[1.5857091 1.3884721]
25,26.jpg,[1.4565601]
26,27.jpg,[2.109007 2.073863]
27,28.jpg,[2.0025303 1.6821246 1.0057461]
28,29.jpg,[1.5682968 1.1275458 1.0934135]
29,30.jpg,[1.4315275 1.2625628]
30,31.jpg,[1.9324527 1.0761003]
31,32.jpg,[1.1468425]
32,33.jpg,[1.1664627]
33,34.jpg,[2.6755962 1.2662338]
34,35.jpg,[1.5944151]
35,36.jpg,[1.7164493 1.1403525 1.0712788 1.018006 ]
36,37.jpg,[1.6785624 1.0710702]
37,38.jpg,[2.9553945 2.7502134]
38,39.jpg,[16.982954]
39,40.jpg,[1.2448275 1.2134862]
40,41.jpg,[1.5048169 1.2977275]
41,42.jpg,[9.017373]
42,43.jpg,[1.6894913 1.22137  ]
43,44.jpg,[2.377097 1.961929]
44,45.jpg,[9.977843  4.091572  3.6663353]
45,46.jpg,[4.488777  1.7767869]
46,47.jpg,[1.1628723]
47,48.jpg,[2.550372  2.0572045]
48,49.jpg,[2.9180071 2.7518694]
49,50.jpg,[1.2899746 1.2738967]
50,51.jpg,[1.6157694 1.2212849]
51,52.jpg,[3.7901866 1.3062207]
52,53.jpg,[1.2064983 1.0858041]
53,54.jpg,[9.696959  3.5880466]
54,55.jpg,[1.1305612]
55,56.jpg,[1.564752  1.3996531]
56,57.jpg,[1.1679413]
57,58.jpg,[1.7095042]
58,59.jpg,[7.5170135 5.191906 ]
59,60.jpg,[2.5255704 1.472059 ]
60,61.jpg,[1.1642959]
61,62.jpg,[1.16521]
62,63.jpg,[1.5146205]
63,64.jpg,[7.707973]
64,65.jpg,[1.6848452 1.5240117]
65,66.jpg,[1.3233658]
66,67.jpg,[4.814516  1.8243369 1.0458801]
67,68.jpg,[6.9499254 6.544716 ]
68,69.jpg,[1.857691]
69,70.jpg,[6.0678587 3.2119691]
70,71.jpg,[2.2812743 1.2897822]
71,72.jpg,[2.8773785 1.5842291]
72,73.jpg,[1.242509]
73,74.jpg,[1.1659096]
74,75.jpg,[1.6545206 1.6426636]
75,76.jpg,[1.5367737]
76,77.jpg,[1.8246439 1.3977768]
77,78.jpg,[1.4224204 1.0768825]
78,79.jpg,[2.8974686]
79,80.jpg,[1.2445369]
80,81.jpg,[1.601249]
81,82.jpg,[1.157835]
82,83.jpg,[1.1559489]
83,84.jpg,[1.5962126 1.1024728]
84,85.jpg,[1.52902]
85,86.jpg,[3.0690053 2.7073188]
86,87.jpg,[1.1638093]
87,88.jpg,[1.396991  1.3141984]
88,89.jpg,[1.1482066]
89,90.jpg,[1.2691517]
90,91.jpg,[3.8063216 3.1154118]
91,92.jpg,[1.4952583 1.3304156]
92,93.jpg,[1.7362611 1.1916027]
93,94.jpg,[1.147647]
94,95.jpg,[13.332709   2.7749295  1.8595315]
95,96.jpg,[1.1684841]
96,97.jpg,[3.5473425 3.3652358]
97,98.jpg,[12.962389   5.3297257]
98,99.jpg,[3.3849697 3.171763  1.8755834]
99,100.jpg,[21.301191  4.760795]
100,101.jpg,[1.2226737 1.2117035]
101,102.jpg,[1.1613393 1.1089289]
102,103.jpg,[1.1502353]
103,104.jpg,[1.9307513 1.2080976]
104,105.jpg,[3.747116  3.3462827]
105,106.jpg,[4.501541  2.0128484]
106,107.jpg,[2.083422]
107,108.jpg,[1.1344438]
108,109.jpg,[2.6476915 1.407599 ]
109,110.jpg,[2.1361072 1.5731128]
110,111.jpg,[11.712057 11.647474]
111,112.jpg,[1.2725698]
112,113.jpg,[1.1469586]
113,114.jpg,[1.1501765]
114,115.jpg,[5.719024  1.6211503 1.4438248]
115,116.jpg,[1.1633543]
116,117.jpg,[4.4056783 4.0180764]
117,118.jpg,[4.0825677 1.4798855]
118,119.jpg,[27.631887 14.333733]
119,120.jpg,[1.2871785]
120,121.jpg,[1.5852166 1.3356279]
121,122.jpg,[1.8925065 1.4902079]
122,123.jpg,[1.1516305]
123,124.jpg,[1.5367094 1.455235 ]
124,125.jpg,[1.1716628]
125,126.jpg,[2.8516042]
126,127.jpg,[1.2145545]
127,128.jpg,[3.018976  1.9253167]
128,129.jpg,[2.9618318 2.2319064]
129,130.jpg,[1.1721672]
130,131.jpg,[2.2154706 2.0141318]
131,132.jpg,[1.551186  1.0375175]
132,133.jpg,[3.4419465 2.202249 ]
133,134.jpg,[2.856881  1.4193994]
134,135.jpg,[2.7742455 2.3524382]
135,136.jpg,[1.1482596]
136,137.jpg,[2.2904127 2.2520986]
137,138.jpg,[34.510166   8.1106615]
138,139.jpg,[2.2904127 2.2520986]
